French Command											
Card Available	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
	Louis Napoléon	–	"Early, Mid Wars"	"Early, Mid Wars"	1	0	1	1	1	"Late Arrival; Louis is not available until he becomes King of Holland in 1806. Konijn van ‘Olland; Louis strives to learn Dutch, mistakenly referring to himself as “The rabbit of Holland”, and oversees broad domestic improvements. Appreciating his e?orts, people call him “Louis the Good”.
Louis’s Armies and Forces must include Dutch Units, when his command is a majority Dutch, Louis’s Cohesion becomes +3.
Unfortunate Exile; Louis is not available after 1810."	
	Luckner	–	Revolution	Revolution	3	1	1	1	2	An Untimely Death; Unavailable after 1793.	
	MacDonald	"Early, Mid Wars"	"Revolution, Mid, Late Wars"	Late War	1	1	2	1	2	"Aide-de-Camp; ADC to Dumouriez 1792-1793 and Eugene, 1809. Maréchal d’Empire; Subtract, not add, his Command if Issuer is another Maréchal, 1810-1814.
Charmed Death; +2 to Leader Fate, 1813."	
	Marmont	"Revolution, Early Wars"	"Early, Mid, Late Wars"	–	1	2	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1796-1800.
Grand Battery; May Command Grand Batteries.
Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1810-1814.
Traitor to the Emperor; Unavailable after 1814."	
	Marulaz	"Revolution, Early, Mid, Late Wars"	–	–	2	0	0	1	2	Mass Cavalry; May Convert Cavalry Formations in additional Combats.	
	Masséna	–	"Revolution, Early, Mid Wars"	Revolution	3	2	3	2	3	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815."	
	Milhaud	"Early, Mid, Late Wars"	Late War	–	2	0	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1812.
Mass Cavalry; May Convert Cavalry Formations in additional Combats.
Preferred Assignment; May only command Cavalry Forces and Formations."	
	Molitor	"Revolution, Early, Mid, Late Wars"	–	–	2	1	2	1	2	"Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1795."	
	Montbrun	"Early, Mid Wars"	Mid War	–	2	0	1	2	2	"Mass Cavalry; May Convert Cavalry in add’l Combats.
Preferred Assignment; May only command Cavalry Forces and Formations. A Date with Death; -2 to Leader Fate, 1812. Unavailable after September 1812."	
	Morand	"Revolution, Early, Mid, Late Wars"	Late War	–	3	1	3	2	3	"Davout’s Immortals; Required Formation Commander for Davout’s IIIeme Corps d’armée, 1804-1812.
Flirts with Death; -1 to Leader Fate, +2 if Harmed, 1805-1807, 1809 & 1812. Captain of the Guard; May command Garde Impériale Infantry Formations, 1815."	
	Moreau	Revolution	Revolution	Revolution	2	0	2	2	3	"Unfortunate Exile; Despite assisting Napoléon in the coup d’état of 18 Brumaire and retiring in 1801, his wife’s collection of political supporters makes him a credible rival of Napoléon. Premier Consul arranges his banishment from France and exile to the United States with the false claim of Royalist support. Unavailable after 1800."	
	Mortier	"Revolution, Early Wars"	"Revolution, Early, Mid, Late Wars"	–	1	1	2	1	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815.
Captain of the Guard; May Command Garde Impériale Forces and Infantry Formations, 1812-1815."	
	Murat	Revolution	"Revolution, Early, Mid, Late Wars"	"Mid, Late Wars"	1	0	1	3	3	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815.
Aide-de-Camp; ADC to Napoléon, 1796-1800.
Dispatch ADCs; May replace Commanders with ADCs.
Chosen Successor; If Murat is present but Napoléon and Berthier are not, Murat must command the Army and will trigger Maréchal penalties,
1805-1813.
Mass Cavalry; May Convert Cavalry Formations in additional Combats. Particular Specialty; When targeting Cavalry Forces or Formations Murat has Command +3."	
	Nansouty	"Revolution, Early, Mid Wars"	"Mid, Late Wars"	–	3	1	2	3	3	"Mass Cavalry; May Convert Cavalry Formations in additional Combats. Captain of the Guard; May command Garde Impériale Cavalry Forces or Formations, 1813-1815.
Preferred Assignment; Must command a Cavalry Force or Formation."	
	Ney	Revolution	"Early, Mid, Late Wars"	"Mid, Late Wars"	1	1	3	3	3	"Maréchal d’Empire; Subtract, not add, double his Command if Issuer is another Maréchal, 1804-1815.
Charmed Death; +2 to Leader Fate.
Bravest of the Brave; When in Personal Command Ney has Command +3, except when attempting to Abandon Personal Command, then Command -3. Mass Cavalry; May Convert Cavalry in add’l Combats.
Specific Talent; Cohesion is +5 when Personally Commanding a Formation with an active Withdrawal [W] Directive.
Captain of the Guard; May command Garde Impériale Forces and Formations, 1813-1815."	
	Ornano	"Mid, Late Wars"	–	–	2	1	1	1	2	"Mass Cavalry; May Convert Cavalry in additional Combats.
Captain of the Guard; May command Garde Impériale Cavalry Formations, 1813.
Unfortunate Exile; Exiled by the restored Bourbons, Ornano is not in France upon Napoléon’s return and is unavailable in 1815."	
	Oudinot	"Revolution, Early, Mid, Late Wars"	"Mid, Late Wars"	"Mid, Late Wars"	2	0	2	2	3	"Father of Grenadiers; May command Grenadier Formations 1805-1807.
Flirts with Death; -1 to Leader Fate but +2 if Harmed.
Suddenly Stupid; Command is +1 as a Force or Army Commander, 1809-1815.
Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1810-1814.
Captain of the Guard; May command Garde Impériale  Forces & Formations, 1813."	
	Pajol	"Early, Mid, Late Wars"	"Mid, Late Wars"	–	3	0	0	2	2	"Mass Cavalry; May Convert Cavalry Formations in additional Combats.
Preferred Assignment; May only command Cavalry Forces and Formations."	
	Pérignon	Revolution	"Revolution, Early, Mid, Late Wars"	–	1	1	1	1	1	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1814.
Traitor to the Emperor; In 1814 Pérignon rallies to the restored Bourbon King and remains with him. He is stricken from the Marshalate during The Hundred Days and is therefore unavailable after 1814."	
	Poniatowski	"Early, Mid Wars"	"Mid, Late Wars"	–	2	1	2	2	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, October 1813.
Mass Cavalry; May Convert Cavalry in add’l Combats.
By Popular Demand; A Polish Force must be commanded by Poniatowski, 1792-1813.
A Date with Death; At Leipzig Poniatowski’s Poles form the rearguard, but the bridge is blown prematurely. Cut o?, and half of his corps destroyed, Poniatowski attempts to swim the Weiße Elster on his horse, but is shot numerous times and drowns, the only foreign Maréchal d’Empire, -2 to Leader Fate, 1813. Unavailable after October 1813."	
	Rapp	"Early, Mid Wars"	Late War	–	2	1	2	1	2	"Aide-de-Camp; ADC to Desaix, 1798-1800; ADC to Napoléon 1800-1814. Captain of the Guard; May command Garde Impériale Formations, 1805 & 1809.
Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1806 & 1812.
Mass Cavalry; May Convert Cavalry Formations in additional Combats."	
	Reille	Mid War	"Mid, Late Wars"	–	1	2	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1807-1809."	
	Reynier	"Revolution, Early, Mid Wars"	"Mid, Late Wars"	–	2	0	2	1	2	"Preferred Assignment; A Saxon Force must be commanded by Reynier, 1812-1813.
An Untimely Death; Captured at Leipzig after the last bridge is blown, Reynier is eventually exchanged and returns to France but dies shortly thereafter.
Unavailable after 1813."	
	Saint-Cyr	Early War	"Revolution, Mid, Late Wars"	Revolution	2	2	2	2	2	"Maréchal d’Empire; Subtract, not add, double his Command if Issuer is another Maréchal, 1812-1815."	
	Saint-Hilaire	"Revolution, Early, Mid Wars"	–	–	3	2	3	2	3	"Flirts with Death; -1 in Leader Fate, but +2 if Harmed, 1805.
A Date with Death; Struck at Aspern-Essling by an Austrian cannonball which removes his left leg, he dies two weeks later, -2 in Leader Fate, 1809.
Unavailable after 1809."	
	Savary	Early War	–	–	2	1	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1798-1809.
Captain of the Guard; May command Directory Guide Cavalry Formations, 1801-1804.
Mass Cavalry; May Convert Cavalry in add’l Combats."	
	Sébastiani	"Mid, Late Wars"	"Mid, Late Wars"	–	1	1	1	1	2	"Mass Cavalry; May Convert Cavalry Formations in additional Combats.
Flirts with Death; -1 in Leader Fate, but +2 if Harmed, 1813."	
	Ségur	"Early, Mid Wars"	Late War	–	1	1	2	1	2	"Aide-de-Camp; ADC to Napoléon, 1804-1812.
Captain of the Guard; May command Garde Impériale Cavalry Formations, 1814.
Mass Cavalry; May Convert Cavalry in add’l Combats."	
	Sérurier	Revolution	Revolution	Revolution	3	1	2	1	3	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815."	
	Souham	"Revolution, Mid, Late Wars"	"Revolution, Late Wars"	–	2	1	2	1	3	"Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1813.
Traitor to the Emperor; Remaining loyal to the restored Bourbon King, Souham is unavailable after 1814."	
	Soult	Revolution	"Revolution, Early, Mid, Late Wars"	–	3	1	3	2	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1804-1815.
Major-général; May act as chief-of-sta? if Berthier is not present, providing a
+1 to Napoléon’s Command when in contact, max of Command +4, 1813-1815."	
	Suchet	"Revolution, Early, Mid Wars"	"Mid, Late Wars"	–	3	2	2	2	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1811-1815."	
	Tharreau	"Early, Mid Wars"	–	–	2	1	2	1	2	"Flirts with Death; -1 in Leader Fate, +2 if Harmed, 1809.
A Date with Death; -2 to Leader Fate, 1812. Unavailable after 1812."	
	Vandamme	"Revolution, Early Wars"	"Mid, Late Wars"	–	2	1	2	1	2	"Needs the Right Supervisor; Unless reporting directly to Napoléon, roll 1D6 for his Command: 1-3 +1, 4-5 +2, 6 +3.
Specific Talent; Vandamme’s Threat is +1|+3 |+3 if Personally Commanding a Formation with an active Attack [A] Directive.
Chosen Successor; If Jérôme is removed due to Leader Fate, Vandamme will take command of the VIIIeme Corps d’armée, 1812.
Unfortunate Capture; Unavailable in 1814."	
	Victor	Revolution	"Early, Mid, Late Wars"	–	2	1	2	2	2	"Maréchal d’Empire; Subtract, not add, his Command if Issuer is another
Maréchal, 1807-1815.
Traitor to the Emperor; Victor abandons Napoléon for the Bourbons after being rebuked for his failure at the Battle of Montereau. Unavailable after February 1814."	
	Walther	"Early, Mid, Late Wars"	–	–	2	0	1	1	2	"Mass Cavalry; May Convert Cavalry Formations in additional Combats. Captain of the Guard; May command Garde Impériale Cavalry Formations, 1809-1813.
Preferred Assignment; May only command Cavalry Formations.
An Untimely Death; Walther dies in the fall of 1813, reports di?er as to the cause, either exhaustion or typhus, in either case, unavailable after 1813."	
74	80			Rated 3	17	4	10	9	21		
				Rated 2	39	10	38	23	52		
				Rated 1	23	4	10	9	21		
				Rated 0	0	26	5	2	0		
