Austrian Command											
Card	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
	Mack	–	Early War	Early War	1	0	0	1	1	"Delusions of Grandeur; Mack is appointed Generalquartiermeister to o?set Erzherzog Ferdinand’s inexperience. If Mack is present, he is required to command the Army.
The Great Communicator; Mack’s rambling orders confuse subordinates, leaving them to guess his intentions. When activating an Objective, a Delay result activates the dummy Objective. When activating a Directive, a Delay result instead activates a random Directive; roll 1D6 and activate the corresponding Directive: A, D, M, S, R, W.
Predictable Court-Martial; Mack is convicted of cowardice after surrendering the entire army at Ulm and imprisoned until 1808, after release he leads a quiet and uneventful life. Unavailable after 1805."	
	Mécsery	"Revolution, Early, Mid Wars"	Mid War	–	1	0	0	2	2	"Mass Cavalry; May Convert Cavalry in additional Combats.
Flirts with Death; -1 Leader Fate, +2 if Harmed, 1805."	
	Melas	–	Revolution	Revolution	3	0	0	2	2		
	Merveldt	"Early, Mid Wars"	Late War	–	1	0	0	1	1	"Unfortunately Captured; After being wounded at Leipzig Merveldt is captured by the French and meets with Napoléon, who sends him back to the Allies with a peace proposal. The peace o?er is ignored and Merveldt is sent to London as an ambassador, he dies there 5 July 1815. Unavailable after 1813."	
	Mesko	"Mid, Late Wars"	–	–	2	1	2	2	2	"Mass Cavalry; May Convert Cavalry in additional Combats.
Flirts with Death; -1 Leader Fate, +2 if Harmed, 1813.
Specific Talent; All bonuses are +3 when Commanding a Formation with an active Withdrawal [W] Directive.
Retirement Bliss; Mesko leaves the service in fall 1814 to retire to his estates in Hungary where he dies 29 August, 1815. Unavailable after 1814."	
	Nordmann	"Early, Mid Wars"	"Early, Mid War"	–	2	1	3	2	2	"A Date with Death; Nordmann is one of four Austrian general o?cers killed at the Battle of Wagram, -2 to Leader Fate, 1809. Unavailable after 1809."	
	Nostitz	"Early, Mid, Late Wars"	Late War	–	2	0	0	2	3	"Mass Cavalry; May Convert Cavalry in additional Combats.
Flirts with Death; -1 Leader Fate, +2 if Harmed, 1794, 1796, 1809."	
	O’Reilly	"Revolution, Early, Mid Wars"	–	–	1	0	0	2	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Ott	Revolution	Revolution	–	2	0	0	2	3	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Radetzky	"Revolution, Early, Mid, Late Wars"	–	–	3	1	1	3	3	"Mass Cavalry; May Convert Cavalry in additional Combats. Generalquartiermeister; May act as chief-of-sta? to Schwarzenberg, providing an addition +1 to Schwarzenberg’s Command when in contact, maximum of Command +4, 1813-1815."	
Card	Commander	Availability			Command	Ranged		Contact	Cohesion	Traits	
		Formation	Force	Army		900 yds	450 yds				
	Reisner	"Revolution, Early, Mid, Late Wars"	–	–	2	3	2	0	2	"Grand Battery; May command Grand Batteries.
Flirts with Death; -1 Leader Fate, +2 if Harmed, 1800, 1809."	
	Reuss-Plauen	"Revolution, Early, Mid Wars"	"Revolution, Early, Mid, Late Wars"	–	1	0	1	1	1		
	Riesch	"Revolution, Early, Mid War"	"Revolution, Early, Mid War"	–	1	0	0	1	1	"Mass Cavalry; May Convert Cavalry in additional Combats. Retirement Bliss; After spending the year of 1809 commanding an unengaged ReserveArmeeKorps of Landwehr, Riesch retires in 1810 to his estate Barockschloss Neschwitz, located in Saxony, and two years later marries a woman 40 years his junior. Unavailable after 1810."	
	Rosenberg	Early War	Mid War	Mid War	2	0	1	2	2		
	Saxe-Coburg-Saalfeld	–	Revolution	Revolution	1	0	0	1	2		
	Schwarzenberg	"Revolution, Early War"	"Revolution, Early, Mid, Late Wars"	"Mid, Late Wars"	2	0	0	1	2	"Peerless; If present, must be Army Commander, 1813-1815. Supreme Allied Commander; May be an Army Commander for any friendly nationality/faction, 1812-1815."	
	Sommariva	"Early, Mid, Late Wars"	"Mid, Late Wars"	–	1	0	1	1	2	Mass Cavalry; May Convert Cavalry in additional Combats.	
	Vincent	"Revolution, Early, Mid Wars"	–	–	1	1	3	2	2	Mass Cavalry; May Convert Cavalry in additional Combats. Specific Talent; Command is +3 when Commanding a Mixed Formation.	
	Vukassovich	"Revolution, Early, Mid"	–	–	2	1	2	1	2	"A Date with Death; Mortally wounded at Wagram, -2 in Leader Fate, July 1809. Unavailable after 1809."	
	Weissenwolf	"Mid, Late Wars"	–	–	2	0	1	2	2	Captain of Grenadiers; May command Grenadier Formations.	
	Wurmser	–	Revolution	Revolution	2	0	0	1	2	"His Last Act; After being compelled to surrender Mantau, Wurmser dies in Vienna 22 August 1797. Unavailable after 1797."	
56	57			Rated 3	2	2	4	2	8		
				Rated 2	32	4	11	23	37		
				Rated 1	23	10	14	26	12		
				Rated 0	0	41	28	6	0		
